Day;Category Title;% de total Eventos
1/4/2018;Science & Technology;7,692307692%
2/4/2018;Science & Technology;7,575757576%
3/4/2018;Science & Technology;4,6875%
4/4/2018;Science & Technology;4,6875%
5/4/2018;Science & Technology;6,060606061%
6/4/2018;Science & Technology;6,349206349%
7/4/2018;Science & Technology;8,196721311%
14/4/2018;Science & Technology;6,153846154%
15/4/2018;Science & Technology;7,692307692%
16/4/2018;Science & Technology;5,970149254%
17/4/2018;Science & Technology;6,060606061%
18/4/2018;Science & Technology;6,25%
19/4/2018;Science & Technology;6,153846154%
20/4/2018;Science & Technology;7,575757576%
21/4/2018;Science & Technology;5,970149254%
22/4/2018;Science & Technology;7,575757576%
23/4/2018;Science & Technology;7,352941176%
24/4/2018;Science & Technology;6,060606061%
25/4/2018;Science & Technology;7,462686567%
26/4/2018;Science & Technology;6,25%
27/4/2018;Science & Technology;7,692307692%
28/4/2018;Science & Technology;7,575757576%
29/4/2018;Science & Technology;6,153846154%
30/4/2018;Science & Technology;7,575757576%
1/5/2018;Science & Technology;7,692307692%
2/5/2018;Science & Technology;6,25%
3/5/2018;Science & Technology;7,936507937%
4/5/2018;Science & Technology;6,153846154%
5/5/2018;Science & Technology;7,462686567%
6/5/2018;Science & Technology;6,451612903%
7/5/2018;Science & Technology;8,064516129%
8/5/2018;Science & Technology;6,349206349%
9/5/2018;Science & Technology;7,575757576%
10/5/2018;Science & Technology;7,8125%
11/5/2018;Science & Technology;7,246376812%
12/5/2018;Science & Technology;7,462686567%
13/5/2018;Science & Technology;5,882352941%
14/5/2018;Science & Technology;7,8125%
15/5/2018;Science & Technology;5,970149254%
16/5/2018;Science & Technology;7,575757576%
17/5/2018;Science & Technology;7,692307692%
18/5/2018;Science & Technology;7,352941176%
19/5/2018;Science & Technology;6,349206349%
20/5/2018;Science & Technology;6,779661017%
21/5/2018;Science & Technology;7,462686567%
22/5/2018;Science & Technology;7,575757576%
23/5/2018;Science & Technology;7,575757576%
24/5/2018;Science & Technology;7,462686567%
25/5/2018;Science & Technology;7,352941176%
26/5/2018;Science & Technology;7,575757576%
27/5/2018;Science & Technology;7,462686567%
28/5/2018;Science & Technology;7,8125%
29/5/2018;Science & Technology;7,8125%
30/5/2018;Science & Technology;7,575757576%
31/5/2018;Science & Technology;5,970149254%
1/6/2018;Science & Technology;5,882352941%
2/6/2018;Science & Technology;6,060606061%
3/6/2018;Science & Technology;7,246376812%
4/6/2018;Science & Technology;7,575757576%
5/6/2018;Science & Technology;7,462686567%
6/6/2018;Science & Technology;7,575757576%
7/6/2018;Science & Technology;7,692307692%
8/6/2018;Science & Technology;6,349206349%
9/6/2018;Science & Technology;7,936507937%
10/6/2018;Science & Technology;7,936507937%
11/6/2018;Science & Technology;7,8125%
12/6/2018;Science & Technology;7,692307692%
13/6/2018;Science & Technology;7,692307692%
14/6/2018;Science & Technology;5,970149254%
14/11/2017;Pets & Animals;3,703703704%
15/11/2017;Pets & Animals;3,571428571%
16/11/2017;Pets & Animals;5,357142857%
17/11/2017;Pets & Animals;5,555555556%
18/11/2017;Pets & Animals;5,357142857%
19/11/2017;Pets & Animals;7,547169811%
20/11/2017;Pets & Animals;3,773584906%
21/11/2017;Pets & Animals;5,555555556%
22/11/2017;Pets & Animals;5,769230769%
23/11/2017;Pets & Animals;5,555555556%
24/11/2017;Pets & Animals;5,660377358%
25/11/2017;Pets & Animals;5,454545455%
26/11/2017;Pets & Animals;3,703703704%
27/11/2017;Pets & Animals;5,555555556%
28/11/2017;Pets & Animals;5,555555556%
29/11/2017;Pets & Animals;3,703703704%
30/11/2017;Pets & Animals;3,921568627%
1/12/2017;Pets & Animals;5,454545455%
2/12/2017;Pets & Animals;3,636363636%
3/12/2017;Pets & Animals;5,660377358%
4/12/2017;Pets & Animals;5,555555556%
5/12/2017;Pets & Animals;5,454545455%
6/12/2017;Pets & Animals;5,357142857%
7/12/2017;Pets & Animals;5,357142857%
8/12/2017;Pets & Animals;3,703703704%
9/12/2017;Pets & Animals;5,263157895%
10/12/2017;Pets & Animals;5,454545455%
11/12/2017;Pets & Animals;3,846153846%
12/12/2017;Pets & Animals;3,636363636%
13/12/2017;Pets & Animals;5,660377358%
14/12/2017;Pets & Animals;5,882352941%
15/12/2017;Pets & Animals;6%
16/12/2017;Pets & Animals;3,571428571%
17/12/2017;Pets & Animals;5,660377358%
18/12/2017;Pets & Animals;3,846153846%
19/12/2017;Pets & Animals;3,636363636%
20/12/2017;Pets & Animals;5,660377358%
21/12/2017;Pets & Animals;5,555555556%
22/12/2017;Pets & Animals;5,660377358%
23/12/2017;Pets & Animals;5,555555556%
24/12/2017;Pets & Animals;4,081632653%
25/12/2017;Pets & Animals;3,921568627%
26/12/2017;Pets & Animals;3,846153846%
27/12/2017;Pets & Animals;5,660377358%
28/12/2017;Pets & Animals;5,555555556%
29/12/2017;Pets & Animals;5,454545455%
30/12/2017;Pets & Animals;5,454545455%
31/12/2017;Pets & Animals;3,921568627%
1/1/2018;Pets & Animals;3,846153846%
2/1/2018;Pets & Animals;3,773584906%
3/1/2018;Pets & Animals;5,660377358%
4/1/2018;Pets & Animals;5,555555556%
5/1/2018;Pets & Animals;5,555555556%
6/1/2018;Pets & Animals;5,769230769%
7/1/2018;Pets & Animals;3,921568627%
8/1/2018;Pets & Animals;3,773584906%
9/1/2018;Pets & Animals;3,846153846%
12/1/2018;Pets & Animals;5,454545455%
13/1/2018;Pets & Animals;5,660377358%
14/1/2018;Pets & Animals;3,846153846%
15/1/2018;Pets & Animals;3,846153846%
16/1/2018;Pets & Animals;3,921568627%
17/1/2018;Pets & Animals;5,454545455%
18/1/2018;Pets & Animals;3,703703704%
19/1/2018;Pets & Animals;5,769230769%
20/1/2018;Pets & Animals;5,769230769%
21/1/2018;Pets & Animals;5,882352941%
22/1/2018;Pets & Animals;5,769230769%
23/1/2018;Pets & Animals;5,555555556%
24/1/2018;Pets & Animals;3,921568627%
25/1/2018;Pets & Animals;3,846153846%
26/1/2018;Pets & Animals;5,660377358%
27/1/2018;Pets & Animals;5,769230769%
28/1/2018;Pets & Animals;3,921568627%
29/1/2018;Pets & Animals;5,555555556%
30/1/2018;Pets & Animals;5,357142857%
31/1/2018;Pets & Animals;5,263157895%
1/2/2018;Pets & Animals;5,555555556%
2/2/2018;Pets & Animals;5,555555556%
3/2/2018;Pets & Animals;5,882352941%
4/2/2018;Pets & Animals;6%
5/2/2018;Pets & Animals;5,660377358%
6/2/2018;Pets & Animals;5,555555556%
7/2/2018;Pets & Animals;6,153846154%
8/2/2018;Pets & Animals;4,761904762%
9/2/2018;Pets & Animals;4,411764706%
10/2/2018;Pets & Animals;6,153846154%
11/2/2018;Pets & Animals;6,349206349%
12/2/2018;Pets & Animals;6,25%
13/2/2018;Pets & Animals;5,970149254%
14/2/2018;Pets & Animals;6,153846154%
15/2/2018;Pets & Animals;6,153846154%
16/2/2018;Pets & Animals;5,882352941%
17/2/2018;Pets & Animals;6,153846154%
18/2/2018;Pets & Animals;6,25%
19/2/2018;Pets & Animals;6,25%
20/2/2018;Pets & Animals;6,153846154%
21/2/2018;Pets & Animals;6,153846154%
22/2/2018;Pets & Animals;6,153846154%
23/2/2018;Pets & Animals;6,25%
24/2/2018;Pets & Animals;5,970149254%
25/2/2018;Pets & Animals;6,25%
26/2/2018;Pets & Animals;4,615384615%
27/2/2018;Pets & Animals;6,060606061%
28/2/2018;Pets & Animals;5,797101449%
1/3/2018;Pets & Animals;6,349206349%
2/3/2018;Pets & Animals;6,060606061%
3/3/2018;Pets & Animals;6,25%
4/3/2018;Pets & Animals;6,153846154%
5/3/2018;Pets & Animals;4,545454545%
6/3/2018;Pets & Animals;6,25%
7/3/2018;Pets & Animals;6,060606061%
8/3/2018;Pets & Animals;6,349206349%
9/3/2018;Pets & Animals;6,25%
10/3/2018;Pets & Animals;6,451612903%
11/3/2018;Pets & Animals;6,451612903%
12/3/2018;Pets & Animals;6,153846154%
13/3/2018;Pets & Animals;5,970149254%
14/3/2018;Pets & Animals;5,970149254%
15/3/2018;Pets & Animals;5,555555556%
16/3/2018;Pets & Animals;6,349206349%
17/3/2018;Pets & Animals;6,349206349%
18/3/2018;Pets & Animals;6,451612903%
19/3/2018;Pets & Animals;6,349206349%
20/3/2018;Pets & Animals;6,349206349%
21/3/2018;Pets & Animals;6,25%
22/3/2018;Pets & Animals;6,349206349%
23/3/2018;Pets & Animals;6,25%
24/3/2018;Pets & Animals;7,692307692%
25/3/2018;Pets & Animals;6,25%
26/3/2018;Pets & Animals;6,153846154%
27/3/2018;Pets & Animals;6,060606061%
28/3/2018;Pets & Animals;1,639344262%
29/3/2018;Pets & Animals;4,761904762%
30/3/2018;Pets & Animals;6,349206349%
31/3/2018;Pets & Animals;6,557377049%
1/4/2018;Pets & Animals;6,153846154%
2/4/2018;Pets & Animals;6,060606061%
3/4/2018;Pets & Animals;4,6875%
4/4/2018;Pets & Animals;6,25%
5/4/2018;Pets & Animals;4,545454545%
6/4/2018;Pets & Animals;4,761904762%
7/4/2018;Pets & Animals;4,918032787%
14/4/2018;Pets & Animals;6,153846154%
15/4/2018;Pets & Animals;6,153846154%
16/4/2018;Pets & Animals;5,970149254%
17/4/2018;Pets & Animals;6,060606061%
18/4/2018;Pets & Animals;4,6875%
19/4/2018;Pets & Animals;4,615384615%
20/4/2018;Pets & Animals;6,060606061%
21/4/2018;Pets & Animals;5,970149254%
22/4/2018;Pets & Animals;6,060606061%
23/4/2018;Pets & Animals;5,882352941%
24/4/2018;Pets & Animals;4,545454545%
25/4/2018;Pets & Animals;5,970149254%
26/4/2018;Pets & Animals;4,6875%
27/4/2018;Pets & Animals;4,615384615%
28/4/2018;Pets & Animals;6,060606061%
29/4/2018;Pets & Animals;6,153846154%
30/4/2018;Pets & Animals;6,060606061%
1/5/2018;Pets & Animals;6,153846154%
2/5/2018;Pets & Animals;4,6875%
3/5/2018;Pets & Animals;6,349206349%
4/5/2018;Pets & Animals;4,615384615%
5/5/2018;Pets & Animals;5,970149254%
6/5/2018;Pets & Animals;4,838709677%
7/5/2018;Pets & Animals;6,451612903%
8/5/2018;Pets & Animals;4,761904762%
9/5/2018;Pets & Animals;4,545454545%
10/5/2018;Pets & Animals;4,6875%
11/5/2018;Pets & Animals;5,797101449%
12/5/2018;Pets & Animals;4,477611940%
13/5/2018;Pets & Animals;5,882352941%
14/5/2018;Pets & Animals;6,25%
15/5/2018;Pets & Animals;4,477611940%
16/5/2018;Pets & Animals;4,545454545%
17/5/2018;Pets & Animals;6,153846154%
18/5/2018;Pets & Animals;5,882352941%
19/5/2018;Pets & Animals;6,349206349%
20/5/2018;Pets & Animals;5,084745763%
21/5/2018;Pets & Animals;5,970149254%
22/5/2018;Pets & Animals;6,060606061%
23/5/2018;Pets & Animals;6,060606061%
24/5/2018;Pets & Animals;5,970149254%
25/5/2018;Pets & Animals;5,882352941%
26/5/2018;Pets & Animals;6,060606061%
27/5/2018;Pets & Animals;5,970149254%
28/5/2018;Pets & Animals;4,6875%
29/5/2018;Pets & Animals;4,6875%
30/5/2018;Pets & Animals;4,545454545%
31/5/2018;Pets & Animals;5,970149254%
1/6/2018;Pets & Animals;5,882352941%
2/6/2018;Pets & Animals;6,060606061%
3/6/2018;Pets & Animals;5,797101449%
4/6/2018;Pets & Animals;6,060606061%
5/6/2018;Pets & Animals;4,477611940%
6/6/2018;Pets & Animals;4,545454545%
7/6/2018;Pets & Animals;4,615384615%
8/6/2018;Pets & Animals;4,761904762%
9/6/2018;Pets & Animals;4,761904762%
10/6/2018;Pets & Animals;6,349206349%
11/6/2018;Pets & Animals;6,25%
12/6/2018;Pets & Animals;6,153846154%
13/6/2018;Pets & Animals;6,153846154%
14/6/2018;Pets & Animals;5,970149254%
14/11/2017;People & Blogs;7,407407407%
15/11/2017;People & Blogs;7,142857143%
16/11/2017;People & Blogs;7,142857143%
17/11/2017;People & Blogs;7,407407407%
18/11/2017;People & Blogs;7,142857143%
19/11/2017;People & Blogs;7,547169811%
20/11/2017;People & Blogs;7,547169811%
21/11/2017;People & Blogs;7,407407407%
22/11/2017;People & Blogs;7,692307692%
23/11/2017;People & Blogs;7,407407407%
24/11/2017;People & Blogs;7,547169811%
25/11/2017;People & Blogs;7,272727273%
26/11/2017;People & Blogs;7,407407407%
27/11/2017;People & Blogs;7,407407407%
28/11/2017;People & Blogs;7,407407407%
29/11/2017;People & Blogs;7,407407407%
30/11/2017;People & Blogs;7,843137255%
1/12/2017;People & Blogs;7,272727273%
2/12/2017;People & Blogs;7,272727273%
3/12/2017;People & Blogs;7,547169811%
4/12/2017;People & Blogs;7,407407407%
5/12/2017;People & Blogs;7,272727273%
6/12/2017;People & Blogs;7,142857143%
7/12/2017;People & Blogs;7,142857143%
8/12/2017;People & Blogs;7,407407407%
9/12/2017;People & Blogs;7,017543860%
10/12/2017;People & Blogs;7,272727273%
11/12/2017;People & Blogs;7,692307692%
12/12/2017;People & Blogs;7,272727273%
13/12/2017;People & Blogs;7,547169811%
14/12/2017;People & Blogs;7,843137255%
15/12/2017;People & Blogs;8%
16/12/2017;People & Blogs;7,142857143%
17/12/2017;People & Blogs;7,547169811%
18/12/2017;People & Blogs;7,692307692%
19/12/2017;People & Blogs;7,272727273%
20/12/2017;People & Blogs;7,547169811%
21/12/2017;People & Blogs;7,407407407%
22/12/2017;People & Blogs;7,547169811%
23/12/2017;People & Blogs;7,407407407%
24/12/2017;People & Blogs;8,163265306%
25/12/2017;People & Blogs;7,843137255%
26/12/2017;People & Blogs;7,692307692%
27/12/2017;People & Blogs;7,547169811%
28/12/2017;People & Blogs;7,407407407%
29/12/2017;People & Blogs;7,272727273%
30/12/2017;People & Blogs;7,272727273%
31/12/2017;People & Blogs;7,843137255%
1/1/2018;People & Blogs;7,692307692%
2/1/2018;People & Blogs;7,547169811%
3/1/2018;People & Blogs;7,547169811%
4/1/2018;People & Blogs;7,407407407%
5/1/2018;People & Blogs;7,407407407%
6/1/2018;People & Blogs;7,692307692%
7/1/2018;People & Blogs;7,843137255%
8/1/2018;People & Blogs;7,547169811%
9/1/2018;People & Blogs;7,692307692%
12/1/2018;People & Blogs;7,272727273%
13/1/2018;People & Blogs;7,547169811%
14/1/2018;People & Blogs;7,692307692%
15/1/2018;People & Blogs;7,692307692%
16/1/2018;People & Blogs;7,843137255%
17/1/2018;People & Blogs;7,272727273%
18/1/2018;People & Blogs;7,407407407%
19/1/2018;People & Blogs;7,692307692%
20/1/2018;People & Blogs;7,692307692%
21/1/2018;People & Blogs;7,843137255%
22/1/2018;People & Blogs;7,692307692%
23/1/2018;People & Blogs;7,407407407%
24/1/2018;People & Blogs;7,843137255%
25/1/2018;People & Blogs;7,692307692%
26/1/2018;People & Blogs;7,547169811%
27/1/2018;People & Blogs;7,692307692%
28/1/2018;People & Blogs;7,843137255%
29/1/2018;People & Blogs;7,407407407%
30/1/2018;People & Blogs;7,142857143%
31/1/2018;People & Blogs;7,017543860%
1/2/2018;People & Blogs;7,407407407%
2/2/2018;People & Blogs;7,407407407%
3/2/2018;People & Blogs;7,843137255%
4/2/2018;People & Blogs;8%
5/2/2018;People & Blogs;7,547169811%
6/2/2018;People & Blogs;7,407407407%
7/2/2018;People & Blogs;7,692307692%
8/2/2018;People & Blogs;7,936507937%
9/2/2018;People & Blogs;7,352941176%
10/2/2018;People & Blogs;7,692307692%
11/2/2018;People & Blogs;7,936507937%
12/2/2018;People & Blogs;7,8125%
13/2/2018;People & Blogs;7,462686567%
14/2/2018;People & Blogs;7,692307692%
15/2/2018;People & Blogs;7,692307692%
16/2/2018;People & Blogs;7,352941176%
17/2/2018;People & Blogs;7,692307692%
18/2/2018;People & Blogs;7,8125%
19/2/2018;People & Blogs;7,8125%
20/2/2018;People & Blogs;7,692307692%
21/2/2018;People & Blogs;7,692307692%
22/2/2018;People & Blogs;7,692307692%
23/2/2018;People & Blogs;7,8125%
24/2/2018;People & Blogs;7,462686567%
25/2/2018;People & Blogs;7,8125%
26/2/2018;People & Blogs;7,692307692%
27/2/2018;People & Blogs;7,575757576%
28/2/2018;People & Blogs;7,246376812%
1/3/2018;People & Blogs;7,936507937%
2/3/2018;People & Blogs;7,575757576%
3/3/2018;People & Blogs;7,8125%
4/3/2018;People & Blogs;7,692307692%
5/3/2018;People & Blogs;7,575757576%
6/3/2018;People & Blogs;7,8125%
7/3/2018;People & Blogs;7,575757576%
8/3/2018;People & Blogs;7,936507937%
9/3/2018;People & Blogs;7,8125%
10/3/2018;People & Blogs;8,064516129%
11/3/2018;People & Blogs;8,064516129%
12/3/2018;People & Blogs;7,692307692%
13/3/2018;People & Blogs;7,462686567%
14/3/2018;People & Blogs;7,462686567%
15/3/2018;People & Blogs;9,259259259%
16/3/2018;People & Blogs;7,936507937%
17/3/2018;People & Blogs;7,936507937%
18/3/2018;People & Blogs;8,064516129%
19/3/2018;People & Blogs;7,936507937%
20/3/2018;People & Blogs;7,936507937%
21/3/2018;People & Blogs;7,8125%
22/3/2018;People & Blogs;7,936507937%
23/3/2018;People & Blogs;7,8125%
24/3/2018;People & Blogs;7,692307692%
25/3/2018;People & Blogs;7,8125%
26/3/2018;People & Blogs;7,692307692%
27/3/2018;People & Blogs;7,575757576%
28/3/2018;People & Blogs;8,196721311%
29/3/2018;People & Blogs;7,936507937%
30/3/2018;People & Blogs;7,936507937%
31/3/2018;People & Blogs;8,196721311%
1/4/2018;People & Blogs;7,692307692%
2/4/2018;People & Blogs;7,575757576%
3/4/2018;People & Blogs;7,8125%
4/4/2018;People & Blogs;7,8125%
5/4/2018;People & Blogs;7,575757576%
6/4/2018;People & Blogs;7,936507937%
7/4/2018;People & Blogs;8,196721311%
14/4/2018;People & Blogs;7,692307692%
15/4/2018;People & Blogs;7,692307692%
16/4/2018;People & Blogs;7,462686567%
17/4/2018;People & Blogs;7,575757576%
18/4/2018;People & Blogs;7,8125%
19/4/2018;People & Blogs;7,692307692%
20/4/2018;People & Blogs;7,575757576%
21/4/2018;People & Blogs;7,462686567%
22/4/2018;People & Blogs;7,575757576%
23/4/2018;People & Blogs;7,352941176%
24/4/2018;People & Blogs;7,575757576%
25/4/2018;People & Blogs;7,462686567%
26/4/2018;People & Blogs;7,8125%
27/4/2018;People & Blogs;7,692307692%
28/4/2018;People & Blogs;7,575757576%
29/4/2018;People & Blogs;7,692307692%
30/4/2018;People & Blogs;7,575757576%
1/5/2018;People & Blogs;7,692307692%
2/5/2018;People & Blogs;7,8125%
3/5/2018;People & Blogs;7,936507937%
4/5/2018;People & Blogs;7,692307692%
5/5/2018;People & Blogs;7,462686567%
6/5/2018;People & Blogs;8,064516129%
7/5/2018;People & Blogs;8,064516129%
8/5/2018;People & Blogs;7,936507937%
9/5/2018;People & Blogs;7,575757576%
10/5/2018;People & Blogs;7,8125%
11/5/2018;People & Blogs;7,246376812%
12/5/2018;People & Blogs;7,462686567%
13/5/2018;People & Blogs;7,352941176%
14/5/2018;People & Blogs;7,8125%
15/5/2018;People & Blogs;7,462686567%
16/5/2018;People & Blogs;7,575757576%
17/5/2018;People & Blogs;7,692307692%
18/5/2018;People & Blogs;7,352941176%
19/5/2018;People & Blogs;7,936507937%
20/5/2018;People & Blogs;8,474576271%
21/5/2018;People & Blogs;7,462686567%
22/5/2018;People & Blogs;7,575757576%
23/5/2018;People & Blogs;7,575757576%
24/5/2018;People & Blogs;7,462686567%
25/5/2018;People & Blogs;7,352941176%
26/5/2018;People & Blogs;7,575757576%
27/5/2018;People & Blogs;7,462686567%
28/5/2018;People & Blogs;7,8125%
29/5/2018;People & Blogs;7,8125%
30/5/2018;People & Blogs;7,575757576%
31/5/2018;People & Blogs;7,462686567%
1/6/2018;People & Blogs;7,352941176%
2/6/2018;People & Blogs;7,575757576%
3/6/2018;People & Blogs;7,246376812%
4/6/2018;People & Blogs;7,575757576%
5/6/2018;People & Blogs;7,462686567%
6/6/2018;People & Blogs;7,575757576%
7/6/2018;People & Blogs;7,692307692%
8/6/2018;People & Blogs;7,936507937%
9/6/2018;People & Blogs;7,936507937%
10/6/2018;People & Blogs;7,936507937%
11/6/2018;People & Blogs;7,8125%
12/6/2018;People & Blogs;7,692307692%
13/6/2018;People & Blogs;7,692307692%
14/6/2018;People & Blogs;7,462686567%
30/11/2017;Nonprofits & Activism;1,960784314%
1/12/2017;Nonprofits & Activism;1,818181818%
2/12/2017;Nonprofits & Activism;1,818181818%
3/12/2017;Nonprofits & Activism;1,886792453%
8/12/2017;Nonprofits & Activism;1,851851852%
9/12/2017;Nonprofits & Activism;1,754385965%
10/12/2017;Nonprofits & Activism;1,818181818%
16/12/2017;Nonprofits & Activism;1,785714286%
17/12/2017;Nonprofits & Activism;1,886792453%
18/12/2017;Nonprofits & Activism;1,923076923%
19/12/2017;Nonprofits & Activism;1,818181818%
20/12/2017;Nonprofits & Activism;1,886792453%
21/12/2017;Nonprofits & Activism;1,851851852%
22/12/2017;Nonprofits & Activism;1,886792453%
5/1/2018;Nonprofits & Activism;1,851851852%
6/1/2018;Nonprofits & Activism;1,923076923%
7/1/2018;Nonprofits & Activism;1,960784314%
8/1/2018;Nonprofits & Activism;1,886792453%
9/1/2018;Nonprofits & Activism;1,923076923%
12/1/2018;Nonprofits & Activism;1,818181818%
14/1/2018;Nonprofits & Activism;1,923076923%
15/1/2018;Nonprofits & Activism;1,923076923%
16/1/2018;Nonprofits & Activism;1,960784314%
25/1/2018;Nonprofits & Activism;1,923076923%
26/1/2018;Nonprofits & Activism;1,886792453%
27/1/2018;Nonprofits & Activism;1,923076923%
28/1/2018;Nonprofits & Activism;1,960784314%
29/1/2018;Nonprofits & Activism;1,851851852%
30/1/2018;Nonprofits & Activism;1,785714286%
31/1/2018;Nonprofits & Activism;1,754385965%
1/2/2018;Nonprofits & Activism;1,851851852%
7/2/2018;Nonprofits & Activism;1,538461538%
8/2/2018;Nonprofits & Activism;1,587301587%
9/2/2018;Nonprofits & Activism;1,470588235%
16/2/2018;Nonprofits & Activism;1,470588235%
17/2/2018;Nonprofits & Activism;1,538461538%
18/2/2018;Nonprofits & Activism;1,5625%
19/2/2018;Nonprofits & Activism;1,5625%
20/2/2018;Nonprofits & Activism;1,538461538%
21/2/2018;Nonprofits & Activism;1,538461538%
27/5/2018;Nonprofits & Activism;1,492537313%
28/5/2018;Nonprofits & Activism;1,5625%
29/5/2018;Nonprofits & Activism;1,5625%
30/5/2018;Nonprofits & Activism;1,515151515%
31/5/2018;Nonprofits & Activism;1,492537313%
1/6/2018;Nonprofits & Activism;1,470588235%
2/6/2018;Nonprofits & Activism;1,515151515%
3/6/2018;Nonprofits & Activism;1,449275362%
4/6/2018;Nonprofits & Activism;1,515151515%
14/11/2017;News & Politics;7,407407407%
15/11/2017;News & Politics;7,142857143%
16/11/2017;News & Politics;7,142857143%
17/11/2017;News & Politics;7,407407407%
18/11/2017;News & Politics;7,142857143%
19/11/2017;News & Politics;7,547169811%
20/11/2017;News & Politics;7,547169811%
21/11/2017;News & Politics;7,407407407%
22/11/2017;News & Politics;7,692307692%
23/11/2017;News & Politics;7,407407407%
24/11/2017;News & Politics;7,547169811%
25/11/2017;News & Politics;7,272727273%
26/11/2017;News & Politics;7,407407407%
27/11/2017;News & Politics;7,407407407%
28/11/2017;News & Politics;7,407407407%
29/11/2017;News & Politics;7,407407407%
30/11/2017;News & Politics;7,843137255%
1/12/2017;News & Politics;7,272727273%
2/12/2017;News & Politics;7,272727273%
3/12/2017;News & Politics;7,547169811%
4/12/2017;News & Politics;7,407407407%
5/12/2017;News & Politics;7,272727273%
6/12/2017;News & Politics;7,142857143%
7/12/2017;News & Politics;7,142857143%
8/12/2017;News & Politics;7,407407407%
9/12/2017;News & Politics;7,017543860%
10/12/2017;News & Politics;7,272727273%
11/12/2017;News & Politics;7,692307692%
12/12/2017;News & Politics;7,272727273%
13/12/2017;News & Politics;7,547169811%
14/12/2017;News & Politics;7,843137255%
15/12/2017;News & Politics;8%
16/12/2017;News & Politics;7,142857143%
17/12/2017;News & Politics;7,547169811%
18/12/2017;News & Politics;7,692307692%
19/12/2017;News & Politics;7,272727273%
20/12/2017;News & Politics;7,547169811%
21/12/2017;News & Politics;7,407407407%
22/12/2017;News & Politics;7,547169811%
23/12/2017;News & Politics;7,407407407%
24/12/2017;News & Politics;8,163265306%
25/12/2017;News & Politics;7,843137255%
26/12/2017;News & Politics;7,692307692%
27/12/2017;News & Politics;7,547169811%
28/12/2017;News & Politics;7,407407407%
29/12/2017;News & Politics;7,272727273%
30/12/2017;News & Politics;7,272727273%
31/12/2017;News & Politics;7,843137255%
1/1/2018;News & Politics;7,692307692%
2/1/2018;News & Politics;7,547169811%
3/1/2018;News & Politics;7,547169811%
4/1/2018;News & Politics;7,407407407%
5/1/2018;News & Politics;7,407407407%
6/1/2018;News & Politics;7,692307692%
7/1/2018;News & Politics;7,843137255%
8/1/2018;News & Politics;7,547169811%
9/1/2018;News & Politics;7,692307692%
12/1/2018;News & Politics;7,272727273%
13/1/2018;News & Politics;7,547169811%
14/1/2018;News & Politics;7,692307692%
15/1/2018;News & Politics;7,692307692%
16/1/2018;News & Politics;7,843137255%
17/1/2018;News & Politics;7,272727273%
18/1/2018;News & Politics;7,407407407%
19/1/2018;News & Politics;7,692307692%
20/1/2018;News & Politics;7,692307692%
21/1/2018;News & Politics;7,843137255%
22/1/2018;News & Politics;7,692307692%
23/1/2018;News & Politics;7,407407407%
24/1/2018;News & Politics;7,843137255%
25/1/2018;News & Politics;7,692307692%
26/1/2018;News & Politics;7,547169811%
27/1/2018;News & Politics;7,692307692%
28/1/2018;News & Politics;7,843137255%
29/1/2018;News & Politics;7,407407407%
30/1/2018;News & Politics;7,142857143%
31/1/2018;News & Politics;7,017543860%
1/2/2018;News & Politics;7,407407407%
2/2/2018;News & Politics;7,407407407%
3/2/2018;News & Politics;7,843137255%
4/2/2018;News & Politics;8%
5/2/2018;News & Politics;7,547169811%
6/2/2018;News & Politics;7,407407407%
7/2/2018;News & Politics;7,692307692%
8/2/2018;News & Politics;7,936507937%
9/2/2018;News & Politics;7,352941176%
10/2/2018;News & Politics;7,692307692%
11/2/2018;News & Politics;7,936507937%
12/2/2018;News & Politics;7,8125%
13/2/2018;News & Politics;7,462686567%
14/2/2018;News & Politics;7,692307692%
15/2/2018;News & Politics;7,692307692%
16/2/2018;News & Politics;7,352941176%
17/2/2018;News & Politics;7,692307692%
18/2/2018;News & Politics;7,8125%
19/2/2018;News & Politics;7,8125%
20/2/2018;News & Politics;7,692307692%
21/2/2018;News & Politics;7,692307692%
22/2/2018;News & Politics;7,692307692%
23/2/2018;News & Politics;7,8125%
24/2/2018;News & Politics;7,462686567%
25/2/2018;News & Politics;7,8125%
26/2/2018;News & Politics;7,692307692%
27/2/2018;News & Politics;7,575757576%
28/2/2018;News & Politics;7,246376812%
1/3/2018;News & Politics;7,936507937%
2/3/2018;News & Politics;7,575757576%
3/3/2018;News & Politics;7,8125%
4/3/2018;News & Politics;7,692307692%
5/3/2018;News & Politics;7,575757576%
6/3/2018;News & Politics;7,8125%
7/3/2018;News & Politics;7,575757576%
8/3/2018;News & Politics;7,936507937%
9/3/2018;News & Politics;7,8125%
10/3/2018;News & Politics;8,064516129%
11/3/2018;News & Politics;8,064516129%
12/3/2018;News & Politics;7,692307692%
13/3/2018;News & Politics;7,462686567%
14/3/2018;News & Politics;7,462686567%
15/3/2018;News & Politics;7,407407407%
16/3/2018;News & Politics;7,936507937%
17/3/2018;News & Politics;7,936507937%
18/3/2018;News & Politics;8,064516129%
19/3/2018;News & Politics;7,936507937%
20/3/2018;News & Politics;7,936507937%
21/3/2018;News & Politics;7,8125%
22/3/2018;News & Politics;7,936507937%
23/3/2018;News & Politics;7,8125%
24/3/2018;News & Politics;7,692307692%
25/3/2018;News & Politics;7,8125%
